time,source_ip_int,destination_ip_int,source_port,destination_port,protocol,duration,packet_count,bytes_sent,bytes_received,label,bytes_per_packet
2025-04-07 03:25:53,3232281727,167792955,32237,995,0,2.9108021447220507,74,9200,4879,0,124.32432432432432
2025-04-07 08:38:03,3232236596,167774143,15995,995,0,4.66116767475193,33,4015,1848,0,121.66666666666667
2025-04-07 04:37:03,3232276946,167832337,65426,80,0,1.802558022114726,23,2572,3190,0,111.82608695652173
2025-04-07 01:30:53,3232270434,167796473,16433,993,0,4.126773103326032,92,2993,3000,0,32.53260869565217
2025-04-06 20:58:03,3232267105,167776023,27110,143,2,1.949096873660757,43,4257,6826,0,99.0
2025-04-07 00:37:28,3232293859,167780300,36188,14103,0,16.714789352958626,431,283570,3395,1,657.9350348027842
2025-04-07 05:51:23,3232242459,167806319,61365,53,1,0.5698486840130674,85,4327,13000,0,50.90588235294118
2025-04-07 16:18:23,3232253364,167833662,25353,993,1,4.023830729374905,61,8172,12276,0,133.9672131147541
2025-04-07 02:18:23,3232251564,167816869,27999,443,0,2.1527618564134556,72,1336,4022,0,18.555555555555557
2025-04-07 12:02:23,3232290866,167833436,54546,143,0,0.25538303863851763,87,6463,14969,0,74.28735632183908
2025-04-07 11:27:43,3232279197,167788276,60920,53,0,3.4730632140712916,80,3119,4642,0,38.9875
2025-04-06 23:45:33,3232266343,167805533,8224,110,0,4.049464143017927,77,3246,14113,0,42.15584415584416
2025-04-07 12:56:53,3232277108,167802794,45436,25,0,1.8347112468075513,47,8377,5431,0,178.2340425531915
2025-04-07 07:54:43,3232259802,167834768,10200,53,1,4.059778711485898,60,8767,4324,0,146.11666666666667
2025-04-06 22:47:33,3232261958,167835689,10423,443,0,3.0157416776960764,47,4035,4815,0,85.85106382978724
2025-04-06 22:57:13,3232290100,167812179,31622,25,0,3.235867643019862,49,4229,9002,0,86.3061224489796
2025-04-07 06:12:13,3232254158,167808263,55027,22,0,0.14486257295454247,54,8764,9214,0,162.2962962962963
2025-04-06 20:41:48,3232245353,167785591,7642,33244,0,0.012572253849082688,2,84,45,1,42.0
2025-04-07 08:16:43,3232251431,167823247,15871,443,0,2.170044051064465,23,9200,14713,0,400.0
2025-04-07 13:51:53,3232247003,167834893,35868,22,1,4.505732087223074,22,8345,11977,0,379.3181818181818
2025-04-06 22:20:38,3232283634,167781115,7526,3389,0,1.422086649251021,13,818,1970,1,62.92307692307692
2025-04-07 08:57:13,3232279502,167803723,61612,443,0,3.765091555980975,24,8332,1245,0,347.1666666666667
2025-04-07 14:10:33,3232252906,167773084,32094,22,1,4.428395222562946,39,2610,7783,0,66.92307692307692
2025-04-07 03:49:33,3232290226,167773556,56553,995,1,2.2600149287579954,26,6727,14055,0,258.7307692307692
2025-04-07 15:17:43,3232288639,167835800,36001,53,1,4.10672568375737,19,5760,13441,0,303.1578947368421
2025-04-06 21:22:58,3232240038,167833765,23308,34112,0,0.030860485855295855,3,71,50,1,23.666666666666668
2025-04-06 21:32:08,3232241948,167810585,13679,61342,5,6.593638693159933,61,7454,9828,1,122.19672131147541
2025-04-07 15:45:23,3232271016,167809386,12932,993,0,3.9949634767211424,22,9602,9336,0,436.45454545454544
2025-04-07 15:35:33,3232296158,167816665,3232,25,0,0.46107558153223827,38,3375,12739,0,88.8157894736842
2025-04-07 07:17:23,3232269673,167798876,2283,995,0,3.27594805871021,62,1293,13095,0,20.85483870967742
2025-04-07 07:56:03,3232239321,167812620,25340,995,0,3.8559621198827663,10,5660,6540,0,566.0
2025-04-07 06:39:03,3232268677,167811828,55475,995,0,4.939468132097298,94,9685,2503,0,103.03191489361703
2025-04-07 17:43:43,3232260072,167778116,13139,53,1,1.9194784971035674,38,1336,9294,0,35.1578947368421
2025-04-07 17:19:33,3232248226,167807022,2129,53,0,3.4626784002515176,78,8667,8765,0,111.11538461538461
2025-04-07 01:15:18,3232269445,167819933,4492,51357,5,7.5236507827693435,121,14205,18200,1,117.39669421487604
2025-04-07 08:03:03,3232254479,167806529,45965,80,0,0.5767037205230934,80,8868,2217,0,110.85
2025-04-07 10:22:23,3232297236,167809921,57608,993,1,4.214135764488891,70,7264,9701,0,103.77142857142857
2025-04-07 10:06:43,3232290387,167831320,36186,25,1,2.7928582172935243,27,3655,5071,0,135.37037037037038
2025-04-07 10:18:23,3232269836,167819341,43136,53,0,3.0706364305679483,15,5885,6221,0,392.3333333333333
2025-04-07 03:30:53,3232277529,167783561,23729,110,0,2.5092526993632944,51,6728,4484,0,131.92156862745097
2025-04-07 00:05:48,3232256177,167779855,39371,32356,0,39.41744660259965,146,590628,3527,1,4045.3972602739727
2025-04-07 05:50:23,3232299884,167807491,38020,993,1,2.8104503946720736,45,2174,11720,0,48.31111111111111
2025-04-07 10:59:13,3232290276,167783446,20854,22,1,0.7499998808940058,94,4692,2702,0,49.91489361702128
2025-04-06 23:42:43,3232261182,167785305,63162,110,1,0.10988998921762969,59,4523,12486,0,76.66101694915254
2025-04-07 01:59:13,3232274560,167801219,61336,143,0,4.290779972158135,61,3544,803,0,58.09836065573771
2025-04-07 04:16:03,3232261623,167822220,21387,22,0,4.46747384397506,69,1617,2134,0,23.434782608695652
2025-04-06 23:14:23,3232280526,167788492,20775,993,0,1.9431689491251882,10,5028,13725,0,502.8
2025-04-06 21:33:03,3232257382,167819462,34242,143,1,0.23895844546237366,94,1993,6111,0,21.20212765957447
2025-04-07 05:48:33,3232274796,167797052,29501,110,1,2.2078678687651787,45,2113,4550,0,46.955555555555556
2025-04-07 16:13:43,3232270169,167776047,2077,80,0,0.7189218340433526,17,6858,13397,0,403.4117647058824
2025-04-07 17:37:03,3232253255,167813126,49278,993,0,4.962611040993796,94,3339,7446,0,35.52127659574468
2025-04-06 23:42:13,3232289730,167826350,60828,25,0,4.197359194556371,96,1361,12575,0,14.177083333333334
2025-04-07 02:13:03,3232275436,167792204,57157,22,1,3.7495999263326696,37,4052,5182,0,109.51351351351352
2025-04-07 14:07:43,3232287453,167824492,40846,993,0,0.29957208608207697,52,8714,13207,0,167.57692307692307
2025-04-07 07:51:33,3232280145,167780073,62552,993,0,2.6632549323202652,81,9338,11255,0,115.28395061728395
2025-04-06 21:06:28,3232276801,167814147,24472,23,0,0.8080423157984363,21,940,1317,1,44.76190476190476
2025-04-07 15:07:13,3232296698,167796143,33054,443,0,4.721686368346564,41,8327,2939,0,203.09756097560975
2025-04-07 01:05:08,3232235875,167776318,48821,3389,0,1.7407383151777807,39,1606,874,1,41.17948717948718
2025-04-07 16:25:03,3232258441,167780505,42276,53,1,1.872560628629565,67,8083,11859,0,120.64179104477611
2025-04-07 01:25:33,3232252970,167781258,10054,22,0,2.056036814752136,63,9591,5972,0,152.23809523809524
2025-04-07 02:01:13,3232264615,167829243,42483,25,1,4.468252920787658,38,508,7770,0,13.368421052631579
2025-04-06 23:54:58,3232240124,167794958,21229,57151,0,37.992404017568006,293,193480,2648,1,660.3412969283277
2025-04-07 17:48:23,3232293097,167794718,48162,995,1,4.7482152343782165,45,1291,8086,0,28.68888888888889
2025-04-06 22:01:33,3232258918,167776860,64489,993,0,3.026027428008827,9,5539,10160,0,615.4444444444445
2025-04-07 16:57:33,3232285563,167829233,34116,110,0,0.34305779317915885,55,9384,7334,0,170.61818181818182
2025-04-07 09:00:13,3232252471,167801236,26501,22,2,4.190027189103401,71,6571,9968,0,92.54929577464789
2025-04-07 02:31:33,3232262083,167783387,52357,443,0,4.280474310621145,34,5950,11411,0,175.0
2025-04-07 16:34:53,3232236424,167777740,14247,25,0,0.38399632487647095,93,6273,6362,0,67.45161290322581
2025-04-07 00:38:53,3232249310,167783472,34644,25,0,4.912763944435677,26,7819,2687,0,300.7307692307692
2025-04-06 21:48:03,3232294246,167783608,26347,25,1,2.3417016368517825,94,969,13408,0,10.308510638297872
2025-04-07 15:58:43,3232268241,167799228,16733,22,0,0.25818006329449017,19,7114,9256,0,374.42105263157896
2025-04-07 05:06:43,3232257217,167789923,9122,143,0,2.651105437715628,28,8522,2824,0,304.35714285714283
2025-04-07 03:24:53,3232249306,167773273,50130,143,2,4.341952951701546,40,5445,14941,0,136.125
2025-04-07 00:28:18,3232264119,167781065,24636,60536,0,0.06484622247726538,1,94,43,1,94.0
2025-04-07 03:12:13,3232255830,167834353,10387,80,0,0.7129251877408831,77,824,11574,0,10.7012987012987
2025-04-07 18:20:43,3232266254,167811329,56204,53,1,1.4790207521410077,16,850,12190,0,53.125
2025-04-07 06:25:03,3232298124,167772591,33548,53,0,2.3504126879676748,18,278,7050,0,15.444444444444445
2025-04-07 01:52:43,3232300726,167773699,9616,23,0,2.6389868434047887,50,3042,7135,0,60.84
2025-04-07 10:27:43,3232244423,167794799,13961,110,1,0.8693763795381493,66,9679,11680,0,146.65151515151516
2025-04-06 21:45:48,3232278808,167775964,56173,59400,4,8.688946847704415,129,16334,7250,1,126.62015503875969
2025-04-07 01:19:08,3232283367,167825364,53813,58534,3,7.782217851170715,83,9753,9925,1,117.50602409638554
2025-04-07 16:58:23,3232248920,167789637,12489,25,0,0.6656121161069946,77,2404,13157,0,31.22077922077922
2025-04-07 10:33:23,3232259317,167804794,6749,443,0,3.7931189653425528,51,2663,2514,0,52.21568627450981
2025-04-07 16:24:23,3232264931,167828935,32270,995,0,0.4923554082992857,99,5869,10301,0,59.282828282828284
2025-04-06 22:46:48,3232237347,167829068,41556,25213,0,0.013353864094025157,4,60,40,1,15.0
2025-04-07 10:19:03,3232293432,167811514,29247,143,1,2.492975681843465,14,496,7362,0,35.42857142857143
2025-04-07 01:27:08,3232280186,167817061,14681,24565,0,0.01193938274489762,3,96,43,1,32.0
2025-04-06 21:18:43,3232297648,167805015,27626,995,0,4.598578642288869,86,6462,11280,0,75.13953488372093
2025-04-06 23:22:28,3232293466,167814960,23512,23542,0,59.770563059020475,444,763768,1448,1,1720.1981981981983
2025-04-07 05:34:13,3232263597,167803464,51696,143,0,1.385030205345887,50,3753,11696,0,75.06
2025-04-06 22:12:58,3232261433,167826016,41767,53627,3,8.86851112275523,63,7066,5348,1,112.15873015873017
2025-04-07 13:17:33,3232242450,167794658,33941,995,0,0.8471540071124604,69,9336,7059,0,135.30434782608697
2025-04-07 03:48:53,3232272594,167826699,51502,993,0,1.541109757859572,95,2378,11303,0,25.03157894736842
2025-04-07 04:26:33,3232245567,167778474,2505,995,1,2.560322247379259,74,6312,5895,0,85.29729729729729
2025-04-07 08:38:43,3232288653,167832520,28948,80,0,3.156434268251894,29,843,4119,0,29.06896551724138
2025-04-07 09:54:23,3232236295,167793564,58721,25,0,3.836211064066506,54,9059,7540,0,167.75925925925927
2025-04-06 21:30:03,3232274034,167811209,50517,23,1,1.1760986585131943,96,569,7194,0,5.927083333333333
2025-04-07 02:54:53,3232240391,167797102,36441,53,0,0.9219431315734126,17,3270,7369,0,192.35294117647058
2025-04-07 05:25:33,3232250724,167801701,37051,143,0,3.27855025566805,47,9265,734,0,197.12765957446808
